IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.66.80.167,2086,80,false,SYD,Oceania,Sydney,93,4.37
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,93,4.36
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,94,4.36
54.66.80.167,2087,80,false,SYD,Oceania,Sydney,93,4.34
54.66.80.167,2095,80,false,SYD,Oceania,Sydney,93,4.33
54.66.80.167,2053,80,false,SYD,Oceania,Sydney,93,4.33
13.237.94.188,2052,80,false,SYD,Oceania,Sydney,92,4.32
54.66.80.167,2096,80,false,SYD,Oceania,Sydney,93,4.30
54.66.80.167,2052,80,false,SYD,Oceania,Sydney,93,4.29
54.66.80.167,2082,80,false,SYD,Oceania,Sydney,93,4.28
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,93,4.28
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,93,4.18
52.18.205.36,2095,80,false,DUB,Europe,Dublin,256,3.25
52.18.205.36,2053,80,false,DUB,Europe,Dublin,258,3.19
52.18.205.36,2087,80,false,DUB,Europe,Dublin,257,3.18
52.18.205.36,2086,80,false,DUB,Europe,Dublin,257,3.15
52.18.205.36,2096,80,false,DUB,Europe,Dublin,257,3.15
52.18.205.36,2082,80,false,DUB,Europe,Dublin,257,2.99
52.18.205.36,2052,80,false,DUB,Europe,Dublin,256,2.96
13.114.123.213,80,443,true,KIX,Asia Pacific,Osaka,72,2.89
13.50.196.125,2053,443,true,ARN,Europe,Stockholm,274,2.32
15.236.116.199,2082,80,false,CDG,Europe,Paris,248,2.00
15.160.14.66,2083,80,false,MXP,Europe,Milan,270,1.90
15.161.40.69,2052,80,false,MXP,Europe,Milan,265,1.90
15.160.14.66,2052,80,false,MXP,Europe,Milan,263,1.89
15.160.14.66,2087,80,false,MXP,Europe,Milan,270,1.88
15.160.15.255,2082,80,false,MXP,Europe,Milan,264,1.88
15.160.15.255,2053,80,false,MXP,Europe,Milan,266,1.88
15.160.14.66,2082,80,false,MXP,Europe,Milan,269,1.88
15.161.216.233,2053,80,false,MXP,Europe,Milan,263,1.88
